Suno ID,Title,Lyrics,Style,Audio Filename,Primary Mood,Duration,BPM,Key,Scale,Loudness,Mood Tags,Rhythm Density,Percussive Shape,Energy Level,groove,Phrase Length,Album Artist,Grouping,Genre,Album/EP,Year,Composer,Artist,Has Cover,Mood Coverage,Focus Category,coord_x,coord_y,energy_norm,brightness_norm,mood_1,mood_2,mood_3,mood_confidence,mood_1_color,last_updated
1,160 and Holding,,,160_and_holding.flac,,177.07,118,Eb,major,2103.92,Hopeful,0.005,1.13,91147.57,High,44.27,StudioRich,Memory in Motion,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Light Concentration,0.6173,0.3785,0.3785,0.6173,Fantastical,Playful,Explosive,0.3664,#5a26d8,2026-03-25
2,160 and Holding S01,,,160_and_holding_s01.flac,,125.2,138,F#,major,1983.6,,0,1.445,83478.19,High,31.3,StudioRich,Memory in Motion,"ambient, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,0,Deep Focus,0.8254,0.317,0.317,0.8254,Disoriented,Subdued,Elusive,0.1374,#26d8cb,2026-03-25
3,A New Dawn,,,a_new_dawn.flac,"Chill, Comforting, Dreamy, Hopeful, Intimate",189.45,84,A,major,2873.95,Chill,0,1.423,145180.47,Low,47.36,Eleven,,lo-fi,Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.2095,0.6522,0.6522,0.2095,Futuristic,Transcendent,Charged,0.1179,#d826be,2026-03-25
4,Above the Loop,,,above_the_loop.flac,,102.92,90,F,major,1802.15,Chill,0,1.026,72341.62,Mid,25.73,StudioRich,Memory in Motion,"cinematic, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.4455,0.2332,0.2332,0.4455,Balanced,Experimental,Luminescent,0.1018,#3ad826,2026-03-25
5,Above the Loop S01,,,above_the_loop_s01.flac,,89.52,87,Eb,minor,2243.22,"Dreamy, Nostalgic",0,1.587,100300.38,Mid,22.38,StudioRich,Memory in Motion,"cinematic, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,2,Sleep,0.3408,0.4316,0.4316,0.3408,Haunting,Sheltered,Anchored,0.1003,#26d8ba,2026-03-25
6,Air Between Us,,,air_between_us.flac,,176.7,132,G,major,3654.54,,0,1.374,207807.48,High,44.17,StudioRich,Opening Air,"jungle, lo-fi, soulful",The Way the Air Moves,2025,,StudioRich,No,0,Deep Focus,0.7975,0.8142,0.8142,0.7975,Untroubled,Proleptic,Esoteric,0.7105,#75d826,2026-03-25
7,Air Between Us S01,,,air_between_us_s01.flac,,146.03,89,B,minor,1917.55,"Dreamy, Nostalgic",0.019,1.258,79363.94,Mid,36.51,StudioRich,Opening Air,"jungle, lo-fi, soulful",The Way the Air Moves,2025,,StudioRich,No,2,Sleep,0.4134,0.2807,0.2807,0.4134,Balanced,Experimental,Remorseful,0.0577,#3ad826,2026-03-25
8,Altocumulus,,,altocumulus.flac,,124.84,85,G,major,1450.64,Chill,0,0.314,52329.62,Low,31.21,StudioRich,Echo Blur,"dream pop, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.2612,0.0768,0.0768,0.2612,Vulnerable,Remorseful,Sad,0.0311,#2679d8,2026-03-25
9,Altocumulus S01,,,altocumulus_s01.flac,,135.88,78,Bb,minor,3853.82,Melancholy,0,1.063,224945.41,Low,33.97,StudioRich,Echo Blur,"dream pop, jungle, lo-fi",The Way the Air Moves,2025,,StudioRich,No,1,Deep Focus,0.0503,0.831,0.831,0.0503,Soothing,Unfolding,Eerie,0.3944,#45d826,2026-03-25
10,Ambient Rewind Blue Mix,,,ambient_rewind_blue_mix.flac,,99.29,87,Bb,major,1928.7,Chill,0,1,80053.4,Mid,24.82,StudioRich,Weightless Drift,"ambient, instrumental, lo-fi",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.3408,0.2919,0.2919,0.3408,Remorseful,Sheltered,Experimental,0.2433,#2689d8,2026-03-25
11,Ambient Rewind Blue Mix S01,,,ambient_rewind_blue_mix_s01.flac,,148.8,90,D,major,3228.81,Playful,0,1.184,172733.25,Mid,37.2,StudioRich,Weightless Drift,"ambient, instrumental, lo-fi",Run Loop,2025,,StudioRich,No,1,Deep Focus,0.4455,0.75,0.75,0.4455,Peaceful,Tense,Transcendental,0.1436,#4ad826,2026-03-25
12,Arcade Roms,,,arcade_roms.flac,,180.08,80,D,major,2628.49,Chill,0,1.688,127068.77,Low,45.02,Eleven,Bonds & Bikes,"cinematic, lo-fi, swing",Stranger Vibes,2025,,StudioRich,No,1,Deep Focus,0.1061,0.588,0.588,0.1061,Incongruous,Deconstructed,Gracious,0.6991,#4526d8,2026-03-25
13,Arcade Roms S01,,,arcade_roms_s01.flac,,210.99,84,G,major,3051.65,Chill,0,-1.757,158781.17,Low,52.75,Eleven,Bonds & Bikes,"cinematic, lo-fi, swing",Stranger Vibes,2025,,StudioRich,No,1,Deep Focus,0.2095,0.7137,0.7137,0.2095,Futuristic,Hypnotic,Cinematic,0.3875,#d826be,2026-03-25
14,Aurora Decay,,,aurora_decay.flac,,240,104,C#,minor,3911.91,Dreamy,0,1.881,230024.23,Mid,60,Eno,,"ambient, electronic, experimental",Eunoia,2025,,StudioRich,No,1,Sleep,0.5475,0.8394,0.8394,0.5475,Edgy,Tense,Adventurous,0.1635,#d82626,2026-03-25
15,Backwards Bloom,,,backwards_bloom.flac,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic, Tense",213,129,C#,minor,4866.9,Tense,0,1.187,318684.62,High,53.25,Eleven,Primer,"ambient, electronic, experimental",Stranger Vibes,2025,,StudioRich,Yes,1,Deep Focus,0.7765,0.9232,0.9232,0.7765,Untroubled,Esoteric,Adventurous,0.2151,#75d826,2026-03-25
16,Before the First Word,,,before_the_first_word.flac,,200.5,120,C,major,3434.05,Hopeful,0.04,1.568,189375.09,High,50.12,StudioRich,First Glimpse,"ambient, downtempo, electronic",Run Loop,2025,,StudioRich,No,1,Light Concentration,0.6788,0.7751,0.7751,0.6788,Adventurous,Esoteric,Mesmerizing,0.2193,#a626d8,2026-03-25
17,Before the First Word S1,,,before_the_first_word_s01.flac,,141.07,100,A,minor,1962.43,Dreamy,0.005,1.604,82152.21,Mid,35.27,StudioRich,First Glimpse,"ambient, downtempo, electronic",Run Loop,2025,,StudioRich,No,1,Sleep,0.5251,0.3142,0.3142,0.5251,Balanced,Fantastical,Luminescent,0.2449,#3ad826,2026-03-25
